CLASS,RITUAL,LEVEL,COST,LOCATION,DESCRIPTION
Troll King,Plant Shadow Tree,2,75 Fng,Forests; Jungles,"An old tree is transformed into a vengeful Shadow Tree. The Shadow Tree is stealthy and will ambush any creatures that enter its forest. Being a tree, it is also very sturdy and can take great amounts of punishment before it dies. Shadow Trees can be created in most Forests and Jungles, including the Troll Pit."
Troll King,Call the Old Forest,2,150 Fng,Forests,"Used to awaken the old and sinister force dormant in all the Forests of Elysium. Once awakened, the Forests will reanimate any corpses in them and vengeful vegetation begins thriving in the Forest. The awakened Forests are called Troll Forests and their creatures will aid their creator in conquering the world and awakening more Forests. Any Humanoids or Animals that die in a Troll Forest will eventually become Carrion Creatures, dead beings that are held together and animated by vines directed by the will of the Troll Forest."
Troll King,Golden Nose,2,100 Fng,Anywhere,Reveals the location of one previously unknown Mine.
Troll King,Activate Fairy Circle,2,100 Fng,Fairy Circle,"All Fairy Circles are inherently magical. Normally the circle will only activate during Midsummer, but with this ritual the magic of the Circle is awakened outside the normal turning of the seasons and anyone in the circle will wake up and find themselves in an Ancient Forest far away."
Troll King,Summon Linnorm,3,1000 Fng; 100 Gold,Land ,Summon a Dragon-like monstrosity from the Iron Woods. The Linnorm is constantly surrounded by noxious fumes and its breath is bile and death.
Troll King,Summon Orm,3,750 Fng,Land ,Summons a monstrous Serpent from the Iron Woods.
Troll King,Stygian Bath,3,1500 Fng,Anywhere,"By dipping a Troll in this special brew, the Troll will become Invulnerable. While Invulnerable to all ordinary weapons, the Troll can still be harmed by Magic and Fire. It is possible to dip non-Trolls as well, but the effect will not be quite as good."
Troll King,Clamor and Clang,3,100 Fng; 100 Goblins,Troll Pit,Awakens the Ageless Troll from his centennial slumber
Voice of El,Convert Settlement,-,-,Human Settlements,"Forces the population of a Settlement to worship El. This makes the Settlement pay one third of its income to the Church of El instead of regular taxes. The worship of El does not end if an enemy should conquer the Settlement. The money given to the Church of El will be divided among the leading priests, or if a Pontiff has been selected the entire collection will go to him."
Voice of El,Break the first seal,-,50 Rlc,Anywhere,There are seven seals that prevent El from punishing the unfaithful. By breaking the first seal El will send minions to help his followers and strike at the heretics. The more seals broken the more powerful minions will arrive to combat the heretics but breaking all seven will bring on the Apocalypse which is probably not a good idea. There is only one set of seven seals and multiple El players can cooperate in breaking them.
Voice of El,Increase Divine Favor,-,75 Rlc,Anywhere,The Divine Favor determines how likely it is the help comes from El after at least one of the seven seals have been broken. What this help consists of is determined by the number of seals broken.
Voice of El,Bolster Devotion,-,25 Rlc,Anywhere,"This ceremony will increase the power that units receive from being blessed. The bless effects are per player, so one player doing a Bolster Devotion ceremony will not help other Voice of El players. The ceremony will cost more and moe relics for every time it has been performed."
Voice of El,Start Crusade,-,100 Gold,Anywhere,This ability calls on the crusade which is a formidable army. The crusade will go against a player of your choice and continue until that player is annihilated or crusade is defeated.
Voice of El,Call the Inquisition,-,150 Gold,Anywhere,This ability calls on the Inquisition. The Inquisition will go against all non-converted Settlements and make sure they get converted.
Warlock (Air),Storm Pact,-,28 DI,Anywhere; -50% cost if cast in Elemental Plane of Air,"The Warlock seals a pact with the Elemental Lords of Air to gain power. An Apprentice casting this ritual will be elevated to a full fledged Warlock of Air. As a Warlock he loses the ability to cast rituals of Earth, but Air rituals are cheaper."
Warlock (Air),Lesser Air Summoning,1,25 DI,Anywhere; -20% cost if cast in Air Citadels,Summon an Air Elemental and bind it to service. Elementals are beings of pure elemental energies given life through magical rituals. Sometimes the elemental energies used to create the Elemental are diluted and impure. This results in one or more Elemental Shards or Lesser Elementals instead.
Warlock (Air),Greater Air Summoning,2,56 DI,Anywhere; -20% cost if cast in Air Citadels,Summons a few beings from the Elemental Plane of Air and enables the Warlock to control them.
Warlock (Air),Summon Yeti,2,28 DI; 28 SA,Mountains,Summons a small pack of Yetis and binds them into servitude. Yetis are Great Ape-like beings of the frozen Mountain tops. They are surrounded by a freezing mist.
Warlock (Air),Summon Champion of Air,2,56 DI,Anywhere,Summons a Commander from the Elemental Plane of Air that will help the Warlock conquer the world.
Warlock (Air),Summon Mist Warrior,2,28 DI; 28 SA,Land ,Summons a band of Para-elementals and binds them to into servitude. Para-elementals gain power from two elements and are generally more powerful than the pure elemental soldiers.
Warlock (Air),Summon Smoke Warrior,2,28 DI; 28 RU,Anywhere,Summons a band of Para-elementals and binds them to into servitude. Para-elementals gain power from two elements and are generally more powerful than the pure elemental soldiers.
Warlock (Air),Curtain of Storms,2,28 DI; 6 AP,Fortified ,A curtain of dark clouds surrounds the Fortification. Anyone who tries to pass with a hostile intent might get struck by lightning.
Warlock (Air),Summon Queen of Air,3,250 DI,Anywhere,The Queen of Air is a powerful elemental being and a ruler of the Elemental Plane of Air. She is capable fo performing Air rituals.
Warlock (Air),Wheel of Storm and Stone,3,50 DI; 50 EM,Land ,Summon an elemental entity that is a unity of opposite elements. It is believed to guard the Primal Gates that separate the Elemental Planes.
Warlock (Air),Perpetual Storm,3,157 DI,Anywhere,The Perpetual Storm will cause heavy winds and the appearance of Storm Elementals that will roam the surrounding areas. The square that this enchantment is cast on will be the eye of the storm and it will be calm and free from Storm Elementals. The surrounding areas will have their income decreased due to the storms and in the eye of the storm Diamonds can be collected.
Warlock (Air),Cloud Castle,3,188 DI,Mountains,Shapes clouds into a solid Castle. The Castle will remain indefinitely and can be used to raise Airya troops
Warlock (Earth),Earth Pact,-,28 EM,Anywhere; -50% cost if cast in Elemental Plane of Earth,"The Warlock seals a pact with the Elemental Lords of Earth to gain power. An Apprentice casting this ritual will be elevated to a full fledged Warlock of Earth. As a Warlock he loses the ability to cast rituals of Air, but Earth rituals are cheaper."
Warlock (Earth),Lesser Earth Summoning,1,25 EM,Land ; -20% cost if cast in Earth Citadels,Summon an Earth Elemental and bind it to service. Elementals are beings of pure elemental energies given life through magical rituals. Sometimes the elemental energies used to create the Elemental are diluted and impure. This results in one or more Elemental Shards or Lesser Elementals instead.
Warlock (Earth),Greater Earth Summoning,2,56 EM,Land ; -20% cost if cast in Earth Citadels,Summons a few beings from the Elemental Plane of Earth and enables the Warlock to control them.
Warlock (Earth),Summon Champion of Earth,2,56 EM,Land ,Summons a Commander from the Elemental Plane of Earth that will help the Warlock conquer the world.
Warlock (Earth),Summon Magma Warrior,2,28 EM; 28 RU,Land ,Summons a band of Para-elementals and binds them to into servitude. Para-elementals gain power from two elements and are generally more powerful than the pure elemental soldiers.
Warlock (Earth),Summon Mud Warrior,2,28 EM; 28 SA,Land ,Summons a band of Para-elementals and binds them to into servitude. Para-elementals gain power from two elements and are generally more powerful than the pure elemental soldiers.
Warlock (Earth),Ramparts of Earth,2,12 EM,Hills; Coal Mines,"The Warlock reshapes some of the surrouding Hills to create an improvised fortfication of earth and stone. If conquered by the enemy, the earth ramparts will melt away."
Warlock (Earth),Dig,2,12 EM,Flat terrains,"The Warlock shapes the earth itself and opens a gaping Pit that leads down to the interior of the world, in hope of finding a path to the Underhalls of Agartha. if cast in the Underhalls it will instead allow the Warlock to dig tunnels underneath the earth."
Warlock (Earth),Summon King of Earth,3,250 EM,Land ,The King of Earth is a powerful elemental being and a ruler of the Elemental Plane of Earth. He is capable of performing Earth rituals.
Warlock (Earth),Wheel of Storm and Stone,3,50 EM; 50 DI,Land ,Summon an elemental entity that is a unity of opposite elements. It is believed to guard the Primal Gates that separate the Elemental Planes.
Warlock (Earth),Wizard's Tower,3,125 EM,Flat terrains,The caster conjures a magical Tower from the ground and makes it his home. The Wizard's Tower is a Citadel and can be used to recruit units.
Warlock (Earth),Raise Volcano,3,63 EM; 32 RU,Hills,The Warlock raises a Volcano from a group of harmless looking hills. The Volcano creation will not harm the Warlock or his troops and afterward the Volcano will be an excellent income of Fire Gems.
Warlock (Fire Giant,King of Giants,1,100 RU,Anywhere,Will empower a Giant make him a Titan. In addition to being huge and physically powerful the Titan is also a highly capable Mage who can manipulate his element.
Warlock (Fire Giant,Call Giants,2,100 RU,Land ,The Titan summons a group of Giants. Giants are powerful beings that are attuned to their element.
Warlock (Fire),Flame Pact,-,28 RU,Anywhere; -50% cost if cast in Elemental Plane of Fire,"The Warlock seals a pact with the Elemental Lords of Fire to gain power. An Apprentice casting this ritual will be elevated to a full fledged Warlock of Fire. As a Warlock he loses the ability to cast rituals of Water, but Fire rituals are cheaper."
Warlock (Fire),Lesser Fire Summoning,1,25 RU,Land ; -20% cost if cast in Fire Citadels,Summon a Fire Elemental and bind it to service. Elementals are beings of pure elemental energies given life through magical rituals. Sometimes the elemental energies used to create the Elemental are diluted and impure. This results in one or more Elemental Shards or Lesser Elementals instead.
Warlock (Fire),Greater Fire Summoning,2,56 RU,Land ; -20% cost if cast in Fire Citadels,Summons a few beings from the Elemental Plane of Fire and enables the Warlock to control them.
Warlock (Fire),Summon Champion of Fire,2,56 RU,Land ,Summons a Commander from the Elemental Plane of Fire that will help the Warlock conquer the world.
Warlock (Fire),Circle of Flames,2,6 RU,Plain-like terrain,The Warlock stands in the middle of a vast empty plain and conjures a blazing circle of flames to protect him and his retinue from attacking enemies. The flaming circle will dissipate if the caster leaves.
Warlock (Fire),Vafur Flames,2,28 RU; 6 AP,Fortified ,The Vafur Flames will surround a Fortification and let friends pass while buring anyone who tries to pass with a hostile intent. Creating the Vafur Flames is a very time consuming process.
Warlock (Fire),Summon Magma Warrior,2,28 RU; 28 EM,Land ,Summons a band of Para-elementals and binds them to into servitude. Para-elementals gain power from two elements and are generally more powerful than the pure elemental soldiers.
Warlock (Fire),Summon Smoke Warrior,2,28 RU; 28 DI,Anywhere,Summons a band of Para-elementals and binds them to into servitude. Para-elementals gain power from two elements and are generally more powerful than the pure elemental soldiers.
Warlock (Fire),Summon King of Fire,3,250 RU,Land ,The King of Fire is a powerful elemental being and a ruler of the Elemental Plane of Fire. He is capable of performing Fire rituals.
Warlock (Fire),Wheel of Frost and Flames,3,50 RU; 50 SA,Land ,Summon an elemental entity that is a unity of opposite elements. It is believed to guard the Primal Gates that separate the Elemental Planes.
Warlock (Fire),Eternal Pyre,3,125 RU,Ancient Forests,A huge pillar of fire that burns forever without the need of any fuel. The power of the eternal pillar of fire can be harvested into Fire Gems that are highly valuable to Warlocks of Fire.
Warlock (Frost Giant,King of Giants,1,100 SA,Anywhere,Will empower a Giant make him a Titan. In addition to being huge and physically powerful the Titan is also a highly capable Mage who can manipulate his element.
Warlock (Frost Giant,Call Giants,2,100 SA,Land ,The Titan summons a group of Giants. Giants are powerful beings that are attuned to their element.
Warlock (Frost Giant,Call Winter Wolves,2,25 SA,Land ; -20% cost if cast in Fimbul Fortress,Summon a pack of Winter Wolves. Winter Wolves are more powerful than ordinary Wolves and can breathe a deadly ice mist on their enemies.
Warlock (Mountain Giant),King of Giants,1,100 EM,Anywhere,Will empower a Giant make him a Titan. In addition to being huge and physically powerful the Titan is also a highly capable Mage who can manipulate his element.
Warlock (Mountain Giant),Call Giants,2,100 EM,Land ,The Titan summons a group of Giants. Giants are powerful beings that are attuned to their element.
Warlock (Mountain Giant),Create Artifact,2,25 Gold; 25 Gems; 2 AP,Anywhere,Creates an Artifact
Warlock (Sea Giant),King of Giants,1,100 SA,Anywhere,Will empower a Giant make him a Titan. In addition to being huge and physically powerful the Titan is also a highly capable Mage who can manipulate his element.
Warlock (Sea Giant),Call Giants,2,100 SA,Underwater ,The Titan summons a group of Giants. Giants are powerful beings that are attuned to their element.
Warlock (Storm Giant),King of Giants,1,100 DI,Anywhere,Will empower a Giant make him a Titan. In addition to being huge and physically powerful the Titan is also a highly capable Mage who can manipulate his element.
Warlock (Storm Giant),Call Giants,2,100 DI,Land ,The Titan summons a group of Giants. Giants are powerful beings that are attuned to their element.
Warlock (Water),Water Pact,-,28 SA,Anywhere; -50% cost if cast in Elemental Plane of Water,"The Warlock seals a pact with the Elemental Lords of Water to gain power. An Apprentice casting this ritual will be elevated to a full fledged Warlock of Water. As a Warlock he loses the ability to cast rituals of Fire, but Water rituals are cheaper."
Warlock (Water),Lesser Water Summoning,1,25 SA,Anywhere; -20% cost if cast in Water Citadels,Summon a Water Elemental and bind it to service. Elementals are beings of pure elemental energies given life through magical rituals. Sometimes the elemental energies used to create the Elemental are diluted and impure. This results in one or more Elemental Shards or Lesser Elementals instead.
Warlock (Water),Greater Water Summoning,2,56 SA,Anywhere; -20% cost if cast in Water Citadels,Summons a few beings from the Elemental Plane of Water and Ice and enables the Warlock to control them.
Warlock (Water),Summon Yeti,2,28 SA; 28 DI,Mountains,Summons a small pack of Yetis and binds them into servitude. Yetis are Great Ape-like beings of the frozen Mountain tops. They are surrounded by a freezing mist.
Warlock (Water),Summon Champion of Water,2,56 SA,Anywhere,Summons a Commander from the Elemental Plane of Water that will help the Warlock conquer the world.
Warlock (Water),Summon Mist Warrior,2,28 SA; 28 DI,Land ,Summons a band of Para-elementals and binds them to into servitude. Para-elementals gain power from two elements and are generally more powerful than the pure elemental soldiers.
Warlock (Water),Summon Mud Warrior,2,28 SA; 28 EM,Land ,Summons a band of Para-elementals and binds them to into servitude. Para-elementals gain power from two elements and are generally more powerful than the pure elemental soldiers.
Warlock (Water),Maelstrom,2,45 SA,Deep Sea,Caster creates a maelstrom of water and arcane power sucking his entire army down beyond the deepest reaches of the sea and into the Elemental Plane of Water. Unless led by a truly powerful Mage the army will probably never return to Elysium.
Warlock (Water),Enchant Lake,2,23 SA,Lakes,"Caster enters a Lake and enchants it with the gifts of Limne, Elemental Queen of Lakes. The Lake will never freeze over and will continuously produce Sapphires."
Warlock (Water),Summon Queen of Water,3,250 SA,Anywhere,The Queen of Water is a powerful elemental being and a ruler of the Elemental Plane of Water. She is capable fo performing Water rituals.
Warlock (Water),Wheel of Frost and Flames,3,50 SA; 50 RU,Land ,Summon an elemental entity that is a unity of opposite elements. It is believed to guard the Primal Gates that separate the Elemental Planes.
Warlock (Water),Fimbul Fortress,3,125 SA,Frozen Lakes,Transforms a Frozen Lake into a Citadel made of ice. The Fimbul Fortress will spread cold to the surrouding areas and will also serve as a place of power for Frost Giants. Frost Giants will find that the rituals calling their servants are easier to cast here.
Warlock (Water),Primal Maelstrom,3,50 SA,Deep Sea,The caster creates a maelstrom in the Elemental Plane of Water sucking his entire army down to reemerge in the deeper seas of Elysium.
Witch,Lesser Ritual,-,25 Fng,Anywhere,Grants the caster a new first level ritual.
Witch,Ritual of Mastery,-,75 Fng,Anywhere,"Grants the caster a new second level ritual. If the caster is currently unable to cast second level rituals, it will be leveled up as well."
Witch,Grand Ritual,-,300 Fng,Swamps; Bogs,"Grants the caster a new third level ritual. If the caster is currently unable to cast thirs level rituals, it will be leveled up as well."
Witch,Minor Summoning,1,15 Fng,Land ,"The Witch will brew a decoction that is used to summon and control some creatures from the ancient days of Elysium. The more fungi used, the greater the chance of managing to control the creatures that appear."
Witch,Swamp Guardians,1,10 Fng,Forests; Jungles; Swamps,"Summons some creatures that are suitable for staying in one place and guarding it. The swamp guardians can only appear in Forest or swamplike terrains. The more fungi used for the ritual, the greater the chance of controlling the creatures that appear."
Witch,Marshlands,1,25 Fng,Farm,When man arrived in Elysium many swamps were drained and became fertile farms. This ritual lets the farmlands return to their original swampy state.
Witch,Bog Eye,1,10 Fng,Anywhere,All Swamps are connected in a way that lets the Witch locate them with the help of magic. This ritual will locate a Swamp that was previously unkown to the Witch.
Witch,Major Summoning,2,75 Fng,Land ,"The Witch will brew a decoction that is used to summon and control some of the more powerful creatures from the ancient days of Elysium. The more fungi used, the greater the chance of managing to control the creatures that appear."
Witch,Mirror Mirror,2,10 Fng,Anywhere,"Mirror Mirror on the wall, show me who is trying to destroy me now."
Witch,Murderous Mist,2,100 Fng; 3 AP,Fortified ,"Makes a venomous green mist rise all around the walls of a castle, poisoning anyone on the wrong side of the walls. The mist will only appear when the castle is threatened so friendly armies can move in and out during peacetime."
Witch,Miasma,2,100 Fng; 3 AP,Swamps; Bogs,"Will make a Swamp spread a theck green mist that is poisonous to all life. The mist will blow with the wind to neighboring lands as well and may kill entire towns if they are nearby. However some monsters like the green mist and will appear in the Swamp, ready to serve the Witch."
Witch,Summon Old One,3,400 Fng,Swamps; Bogs,"The Witch will brew a decoction that is used to awaken and control one of the Old Ones. The Old Ones slumber in Swamps and the ritual can only be performed there. The more fungi used, the greater the chance of managing to control the Old One."
Witch,Swamp Soul,3,600 Fng,Swamps; Bogs,The Witch binds her soul to the Swamps of Elysium. When she dies her soul will instantly return to the Swamp which will reform into a suitable body for the Witch. The Witch must own a Swamp for this trick of immortality to work and the Swamp will be consumed in the process.
Witch,Bog Path,3,300 Fng; 3 AP,Swamps; Bogs,Enables the Witch to travel through the paths that connect all the Swamps together. The Witch and her entire army will travel instantly from one Swamp to another Swamp of her choosing
